Search Value,Time (ns)
50000,1900
49500,700
49000,800
48500,600
48000,600
47500,600
47000,800
46500,600
46000,600
45500,600
45000,700
44500,600
44000,700
43500,900
43000,700
42500,600
42000,600
41500,500
41000,700
40500,500
40000,600
39500,500
39000,500
38500,500
38000,500
37500,600
37000,900
36500,600
36000,800
35500,500
35000,700
34500,700
34000,500
33500,600
33000,500
32500,500
32000,600
31500,500
31000,600
30500,600
30000,500
29500,400
29000,700
28500,600
28000,600
27500,600
27000,600
26500,700
26000,700
25500,600
25000,900
24500,600
24000,800
23500,700
23000,1100
22500,700
22000,1300
21500,700
21000,1200
20500,700
20000,500
19500,700
19000,600
18500,500
18000,600
17500,500
17000,2900
16500,600
16000,600
15500,500
15000,600
14500,600
14000,500
13500,500
13000,600
12500,1400
12000,500
11500,500
11000,500
10500,500
10000,900
9500,600
9000,600
8500,500
8000,500
7500,500
7000,600
6500,600
6000,500
5500,500
5000,500
4500,600
4000,500
3500,500
3000,500
2500,500
2000,500
1500,600
1000,600
