Data Size,Search Value,Time (ns)
1000000,50000,10600
990000,50000,4900
980000,50000,1500
970000,50000,1400
960000,50000,1400
950000,50000,1300
940000,50000,1200
930000,50000,1200
920000,50000,1100
910000,50000,1400
900000,50000,1000
890000,50000,1100
880000,50000,1000
870000,50000,1300
860000,50000,1300
850000,50000,1100
840000,50000,1300
830000,50000,1400
820000,50000,1300
810000,50000,1300
800000,50000,1100
790000,50000,1200
780000,50000,4900
770000,50000,1300
760000,50000,1300
750000,50000,1100
740000,50000,1200
730000,50000,1400
720000,50000,1100
710000,50000,1100
700000,50000,1100
690000,50000,1200
680000,50000,1200
670000,50000,1300
660000,50000,1400
650000,50000,1800
640000,50000,1500
630000,50000,1100
620000,50000,1200
610000,50000,900
600000,50000,1000
590000,50000,1200
580000,50000,1000
570000,50000,1200
560000,50000,1400
550000,50000,1200
540000,50000,1200
530000,50000,1200
520000,50000,1000
510000,50000,1100
500000,50000,900
490000,50000,1000
480000,50000,1100
470000,50000,1000
460000,50000,1000
450000,50000,900
440000,50000,1700
430000,50000,1200
420000,50000,1100
410000,50000,1100
400000,50000,1000
390000,50000,1100
380000,50000,1000
370000,50000,1400
360000,50000,1000
350000,50000,800
340000,50000,800
330000,50000,1200
320000,50000,900
310000,50000,1400
300000,50000,1000
290000,50000,1700
280000,50000,1100
270000,50000,900
260000,50000,700
250000,50000,700
240000,50000,800
230000,50000,700
220000,50000,900
210000,50000,1200
200000,50000,1000
190000,50000,1000
180000,50000,1000
170000,50000,800
160000,50000,1300
150000,50000,1400
140000,50000,1100
130000,50000,800
120000,50000,900
110000,50000,800
100000,50000,800
1000000,5000,900
990000,5000,900
980000,5000,1000
970000,5000,800
960000,5000,900
950000,5000,700
940000,5000,800
930000,5000,1300
920000,5000,1100
910000,5000,1000
900000,5000,1300
890000,5000,2000
880000,5000,3500
870000,5000,2500
860000,5000,2600
850000,5000,5900
840000,5000,3400
830000,5000,2200
820000,5000,1600
810000,5000,1700
800000,5000,1900
790000,5000,1900
780000,5000,2500
770000,5000,2100
760000,5000,11600
750000,5000,2000
740000,5000,3700
730000,5000,2300
720000,5000,1500
710000,5000,2000
700000,5000,1600
690000,5000,1800
680000,5000,2600
670000,5000,7300
660000,5000,4400
650000,5000,1800
640000,5000,2500
630000,5000,1000
620000,5000,1400
610000,5000,1600
600000,5000,1700
590000,5000,1200
580000,5000,700
570000,5000,500
560000,5000,400
550000,5000,500
540000,5000,900
530000,5000,900
520000,5000,800
510000,5000,700
500000,5000,700
490000,5000,800
480000,5000,1100
470000,5000,600
460000,5000,500
450000,5000,1500
440000,5000,1000
430000,5000,600
420000,5000,900
410000,5000,600
400000,5000,900
390000,5000,400
380000,5000,400
370000,5000,300
360000,5000,600
350000,5000,500
340000,5000,600
330000,5000,700
320000,5000,600
310000,5000,500
300000,5000,600
290000,5000,500
280000,5000,600
270000,5000,400
260000,5000,500
250000,5000,700
240000,5000,700
230000,5000,800
220000,5000,800
210000,5000,1000
200000,5000,1100
190000,5000,1500
180000,5000,1800
170000,5000,800
160000,5000,900
150000,5000,1100
140000,5000,1700
130000,5000,800
120000,5000,800
110000,5000,600
100000,5000,600
1000000,500,1400
990000,500,2100
980000,500,6100
970000,500,1300
960000,500,1100
950000,500,800
940000,500,1100
930000,500,800
920000,500,800
910000,500,700
900000,500,600
890000,500,600
880000,500,1100
870000,500,1300
860000,500,1100
850000,500,700
840000,500,800
830000,500,700
820000,500,600
810000,500,700
800000,500,400
790000,500,500
780000,500,800
770000,500,800
760000,500,3000
750000,500,600
740000,500,400
730000,500,400
720000,500,700
710000,500,500
700000,500,500
690000,500,500
680000,500,500
670000,500,500
660000,500,700
650000,500,800
640000,500,500
630000,500,500
620000,500,400
610000,500,800
600000,500,600
590000,500,400
580000,500,600
570000,500,14600
560000,500,1700
550000,500,700
540000,500,900
530000,500,800
520000,500,700
510000,500,700
500000,500,1700
490000,500,700
480000,500,700
470000,500,600
460000,500,400
450000,500,300
440000,500,300
430000,500,300
420000,500,300
410000,500,400
400000,500,400
390000,500,400
380000,500,600
370000,500,500
360000,500,600
350000,500,700
340000,500,400
330000,500,300
320000,500,300
310000,500,400
300000,500,300
290000,500,4000
280000,500,500
270000,500,1000
260000,500,500
250000,500,300
240000,500,400
230000,500,400
220000,500,300
210000,500,300
200000,500,400
190000,500,400
180000,500,400
170000,500,400
160000,500,600
150000,500,600
140000,500,600
130000,500,400
120000,500,400
110000,500,300
100000,500,400
