Data Size,Time (ms)
1000,3
2000,2
3000,1
4000,1
5000,1
6000,1
7000,2
8000,1
9000,2
10000,2
11000,2
12000,4
13000,2
14000,3
15000,2
16000,3
17000,3
18000,4
19000,3
20000,3
21000,2
22000,5
23000,4
24000,4
25000,4
26000,9
27000,4
28000,4
29000,6
30000,4
31000,3
32000,5
33000,5
34000,4
35000,5
36000,7
37000,5
38000,6
39000,7
40000,6
41000,9
42000,7
43000,11
44000,8
45000,8
46000,12
47000,11
48000,14
49000,12
50000,14
51000,11
52000,16
53000,18
54000,11
55000,16
56000,26
57000,10
58000,10
59000,13
60000,11
61000,10
62000,10
63000,10
64000,16
65000,15
66000,18
67000,21
68000,24
69000,22
70000,18
71000,22
72000,19
73000,20
74000,18
75000,18
76000,20
77000,29
78000,34
79000,20
80000,24
81000,23
82000,20
83000,36
84000,38
85000,33
86000,29
87000,25
88000,27
89000,24
90000,27
91000,32
92000,26
93000,27
94000,27
95000,22
96000,23
97000,27
98000,29
99000,35
100000,35
101000,49
102000,50
103000,27
104000,27
105000,28
106000,23
107000,22
108000,22
109000,22
110000,24
111000,23
112000,23
113000,25
114000,25
115000,27
116000,29
117000,24
118000,24
119000,23
120000,23
121000,25
122000,32
123000,30
124000,27
125000,24
126000,27
127000,25
128000,25
129000,27
130000,29
131000,31
132000,29
133000,29
134000,28
135000,28
136000,29
137000,44
138000,37
139000,29
140000,31
141000,36
142000,33
143000,40
144000,34
145000,36
146000,36
147000,37
148000,47
149000,38
150000,33
151000,31
152000,30
153000,33
154000,36
155000,41
156000,36
157000,34
158000,34
159000,32
160000,37
161000,44
162000,36
163000,34
164000,35
165000,34
166000,36
167000,42
168000,38
169000,35
170000,34
171000,34
172000,43
173000,47
174000,39
175000,40
176000,38
177000,41
178000,46
179000,38
180000,39
181000,39
182000,39
183000,49
184000,40
185000,41
186000,49
187000,46
188000,48
189000,52
190000,47
191000,43
192000,44
193000,54
194000,47
195000,46
196000,43
197000,44
198000,53
199000,48
200000,49
201000,48
202000,45
203000,57
204000,50
205000,53
206000,47
207000,53
208000,58
209000,52
210000,49
211000,52
212000,54
213000,50
214000,50
215000,60
216000,55
217000,57
218000,49
219000,55
220000,56
221000,51
222000,51
223000,52
224000,59
225000,51
226000,53
227000,54
228000,55
229000,52
230000,54
231000,54
232000,63
233000,54
234000,53
235000,65
236000,61
237000,54
238000,56
239000,67
240000,59
241000,59
242000,61
243000,70
244000,64
245000,60
246000,60
247000,72
248000,60
249000,60
250000,61
251000,73
252000,62
253000,62
254000,60
255000,65
256000,60
257000,59
258000,66
259000,82
260000,65
261000,62
262000,66
263000,80
264000,66
265000,67
266000,65
267000,67
268000,65
269000,72
270000,72
271000,69
272000,66
273000,89
274000,75
275000,71
276000,75
277000,75
278000,76
279000,77
280000,71
281000,70
282000,70
283000,73
284000,69
285000,75
286000,74
287000,77
288000,92
289000,98
290000,77
291000,82
292000,74
293000,76
294000,81
295000,77
296000,73
297000,81
298000,77
299000,77
300000,82
301000,80
302000,84
303000,84
304000,76
305000,74
306000,90
307000,95
308000,79
309000,86
310000,76
311000,85
312000,99
313000,87
314000,88
315000,89
316000,82
317000,84
318000,91
319000,80
320000,72
321000,92
322000,84
323000,85
