Data Size,Search Count,Time (ns)
1000,100,608700
2000,200,107700
3000,300,181300
4000,400,226400
5000,500,121400
6000,600,132000
7000,700,116100
8000,800,125100
9000,900,142100
10000,1000,253000
11000,1100,179800
12000,1200,190100
13000,1300,134900
14000,1400,148000
15000,1500,187400
16000,1600,193600
17000,1700,406600
18000,1800,224700
19000,1900,274300
20000,2000,233100
21000,2100,230200
22000,2200,245400
23000,2300,666700
24000,2400,298000
25000,2500,344300
26000,2600,362600
27000,2700,366000
28000,2800,440100
29000,2900,423000
30000,3000,389200
31000,3100,422200
32000,3200,447400
33000,3300,382400
34000,3400,393100
35000,3500,506700
36000,3600,566100
37000,3700,554600
38000,3800,657300
39000,3900,560800
40000,4000,504500
41000,4100,780100
42000,4200,527100
43000,4300,909300
44000,4400,803800
45000,4500,589800
46000,4600,940300
47000,4700,610500
48000,4800,612300
49000,4900,642200
50000,5000,653800
51000,5100,702000
52000,5200,671100
53000,5300,762800
54000,5400,728600
55000,5500,831800
56000,5600,1137300
57000,5700,1058300
58000,5800,788600
59000,5900,913200
60000,6000,809400
61000,6100,851700
62000,6200,858900
63000,6300,907700
64000,6400,983800
65000,6500,935900
66000,6600,1070700
67000,6700,1090300
68000,6800,2769500
69000,6900,1038400
70000,7000,1070200
71000,7100,1263500
72000,7200,2152700
73000,7300,1078300
74000,7400,1365600
75000,7500,1355300
76000,7600,1276500
77000,7700,1927900
78000,7800,1578200
79000,7900,1216200
80000,8000,1245600
81000,8100,1283200
82000,8200,1307000
83000,8300,1348500
84000,8400,1360300
85000,8500,1446400
86000,8600,1367900
87000,8700,1373400
88000,8800,1473700
89000,8900,1665300
90000,9000,1819100
91000,9100,1491600
92000,9200,1396600
93000,9300,2422500
94000,9400,1497200
95000,9500,1588000
96000,9600,1661400
97000,9700,4202500
98000,9800,1955600
99000,9900,1627900
100000,10000,1791200
101000,10100,1639000
102000,10200,1607700
103000,10300,2311800
104000,10400,3777000
105000,10500,1827200
106000,10600,1757500
107000,10700,1741700
108000,10800,1855400
109000,10900,3051900
110000,11000,2056600
111000,11100,1976100
112000,11200,3664300
113000,11300,4791500
114000,11400,2204200
115000,11500,2154300
116000,11600,2836000
117000,11700,1926700
118000,11800,1975700
119000,11900,2665000
120000,12000,3000700
121000,12100,2917200
122000,12200,3116700
123000,12300,5693000
124000,12400,2156500
125000,12500,2550700
126000,12600,2174700
127000,12700,4024800
128000,12800,2253900
129000,12900,4009600
130000,13000,2538700
131000,13100,2779100
132000,13200,2930700
133000,13300,4400300
134000,13400,2418200
135000,13500,3224000
136000,13600,2385800
137000,13700,2932800
138000,13800,5134600
139000,13900,2443900
140000,14000,2704700
141000,14100,2786400
142000,14200,4787900
143000,14300,2450200
144000,14400,3358300
145000,14500,4608300
146000,14600,8097000
147000,14700,3361500
148000,14800,4973200
149000,14900,5610400
150000,15000,3901300
151000,15100,2769600
152000,15200,2762000
153000,15300,2891800
154000,15400,2885900
155000,15500,3552700
156000,15600,3076900
157000,15700,6761700
158000,15800,4718300
159000,15900,3352400
160000,16000,3825900
161000,16100,3318200
162000,16200,3165600
163000,16300,2688300
164000,16400,5594000
165000,16500,6439800
166000,16600,3402500
167000,16700,3250600
168000,16800,3269400
169000,16900,7669800
170000,17000,5655300
171000,17100,3680400
172000,17200,3694400
173000,17300,5893800
174000,17400,3669800
175000,17500,3628800
176000,17600,3436300
177000,17700,4389900
178000,17800,6032400
179000,17900,4491800
180000,18000,4308800
181000,18100,3984400
182000,18200,3750800
183000,18300,7421700
184000,18400,4128600
185000,18500,5145500
186000,18600,3681300
187000,18700,5559600
188000,18800,5027300
189000,18900,5569300
190000,19000,4285200
191000,19100,5909700
192000,19200,3932400
193000,19300,6949800
194000,19400,7406200
195000,19500,4043600
196000,19600,4472600
197000,19700,5240900
198000,19800,5500300
199000,19900,4216100
200000,20000,5445000
201000,20100,5071300
202000,20200,5527700
203000,20300,6772500
204000,20400,5192400
205000,20500,6961700
206000,20600,7733800
207000,20700,7244300
208000,20800,6385200
209000,20900,5573500
210000,21000,4932800
211000,21100,5187700
212000,21200,4336600
213000,21300,8355600
214000,21400,6953800
215000,21500,7267100
216000,21600,9243600
217000,21700,6519200
218000,21800,8896300
219000,21900,7086600
220000,22000,9630700
221000,22100,6272500
222000,22200,8960500
223000,22300,7342300
224000,22400,5036600
225000,22500,7341000
226000,22600,8580900
227000,22700,5412400
228000,22800,8169000
229000,22900,5711200
230000,23000,9160400
231000,23100,7824300
232000,23200,5777400
233000,23300,9598400
234000,23400,9171200
235000,23500,6051300
236000,23600,7336900
237000,23700,8084800
238000,23800,6928300
239000,23900,6002500
240000,24000,8149200
241000,24100,8990700
242000,24200,10631300
243000,24300,6064600
244000,24400,6491600
245000,24500,9645300
246000,24600,6626900
247000,24700,9026000
248000,24800,8191800
249000,24900,10767900
250000,25000,8801200
251000,25100,5486600
252000,25200,8599300
253000,25300,11402200
254000,25400,6889400
255000,25500,6607400
256000,25600,6970100
257000,25700,6629900
258000,25800,10135200
259000,25900,8874600
260000,26000,9150200
261000,26100,9039900
262000,26200,6933700
263000,26300,6749700
